Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15p,C_0402_1005Metric,39.852946,-85.841455,0.0,bottom
C2,15p,C_0402_1005Metric,41.852946,-85.841455,180.0,bottom
C3,1µ,C_0603_1608Metric,41.6747,-64.45833,0.0,bottom
C4,1µ,C_0603_1608Metric,41.5477,-69.66533,0.0,bottom
C5,1µ,C_0402_1005Metric,46.387757,-81.752717,-135.0,bottom
C6,1µ,C_0402_1005Metric,47.7882,-81.112552,135.0,bottom
C7,100n,C_0402_1005Metric,53.824214,-83.658978,0.0,bottom
C8,100n,C_0402_1005Metric,44.65279,-89.038304,135.0,bottom
C9,100n,C_0402_1005Metric,52.596877,-90.937455,0.0,bottom
C10,100n,C_0402_1005Metric,53.824214,-82.673752,0.0,bottom
C11,100n,C_0402_1005Metric,47.083552,-82.451903,-135.0,bottom
C12,100n,C_0402_1005Metric,55.390877,-87.95097,-45.0,bottom
C13,100n,C_0402_1005Metric,44.680674,-84.228758,135.0,bottom
C14,100n,C_0402_1005Metric,45.357877,-90.385509,-135.0,bottom
D16,B5817,D_SOD-323,41.71592,-62.548108,0.0,bottom
D77,LED,LED_0402_1005Metric,41.5477,-84.01397,90.0,bottom
F1,Polyfuse,Fuse_0603_1608Metric,41.9287,-60.77533,180.0,bottom
FB1,FerriteBead_Small,L_0603_1608Metric,53.2317,-57.60033,90.0,bottom
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,47.049181,-53.73833,0.0,bottom
R1,5.1k,R_0402_1005Metric,45.6117,-59.88633,0.0,bottom
R2,5.1k,R_0402_1005Metric,48.9137,-59.88633,0.0,bottom
R3,27,R_0402_1005Metric,52.03536,-81.656176,-45.0,bottom
R4,27,R_0402_1005Metric,50.4377,-81.47633,-45.0,bottom
R5,1k,R_0402_1005Metric,42.602946,-87.691455,-90.0,bottom
R6,5.1k,R_0402_1005Metric,42.8177,-77.15833,135.0,bottom
R7,10k,R_0402_1005Metric,44.2147,-78.55533,135.0,bottom
R8,10k,R_0402_1005Metric,61.051188,-82.335175,135.0,bottom
R9,1k,R_0402_1005Metric,62.452077,-83.75997,-45.0,bottom
R10,10k,R_0402_1005Metric,42.9447,-71.69733,90.0,bottom
R11,1k,R_0402_1005Metric,40.5317,-84.01397,-90.0,bottom
SW1,SW_Push,SW_SPST_CK_KXT3,47.6437,-70.30033,-90.0,bottom
SW2,SW_Push,SW_SPST_CK_KXT3,44.7227,-70.30033,-90.0,bottom
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,49.188946,-86.948455,135.0,bottom
U2,XC6206P332MR,SOT-23,41.61592,-67.12533,180.0,bottom
U3,SRV05-4,SOT-23-6-routable,47.0087,-62.17233,180.0,bottom
U4,W25Q16JVSNIQ,SO-8_3.9x4.9mm_P1.27mm,59.861277,-85.84277,135.0,bottom
Y1,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,40.552946,-88.091455,90.0,bottom
