Comment,Designator,Footprint,LCSC
W25Q16JVSNIQ,U4,SO-8_3.9x4.9mm_P1.27mm,C115407
1k,"R11,R5,R9",R_0402_1005Metric,C11702
B5817,D16,D_SOD-323,C123899
LED,D77,LED_0402_1005Metric,C130719
100n,"C10,C11,C12,C13,C14,C7,C8,C9",C_0402_1005Metric,C1525
15p,"C1,C2",C_0402_1005Metric,C1548
TYPE-C-31-M-12,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1µ,"C3,C4",C_0603_1608Metric,C19666
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
D,"D1,D10,D11,D12,D13,D14,D15,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D8,D9",D_SOD-123,C2128
Crystal_GND24,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149204
27,"R3,R4",R_0402_1005Metric,C25100
10k,"R10,R7,R8",R_0402_1005Metric,C25744
5.1k,"R1,R2,R6",R_0402_1005Metric,C25905
SW_Push,"SW1,SW2",SW_SPST_CK_KXT3,C319433
1µ,"C5,C6",C_0402_1005Metric,C52923
XC6206P332MR,U2,SOT-23,C5446
Polyfuse,F1,Fuse_0603_1608Metric,C69679
SRV05-4,U3,SOT-23-6-routable,C85364
FerriteBead_Small,FB1,L_0603_1608Metric,C98288
KEYSW,K57,MXOnly-1U-Hotswap,
KEYSW,K72,MXOnly-1U-Hotswap,
KEYSW,K71,MXOnly-1U-Hotswap,
KEYSW,K70,MXOnly-1U-Hotswap,
KEYSW,K69,MXOnly-2U-Hotswap-ReversedStabilizers,
KEYSW,K68,MXOnly-1U-Hotswap,
KEYSW,K66,MXOnly-2U-Hotswap-ReversedStabilizers,
