Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15p,C_0402_1005Metric,39.852946,-85.841455,0.0,bottom
C2,15p,C_0402_1005Metric,41.852946,-85.841455,180.0,bottom
C3,1µ,C_0603_1608Metric,41.6747,-64.45833,0.0,bottom
C4,1µ,C_0603_1608Metric,41.5477,-69.66533,0.0,bottom
C5,1µ,C_0402_1005Metric,46.387757,-81.752717,-135.0,bottom
C6,1µ,C_0402_1005Metric,47.7882,-81.112552,135.0,bottom
C7,100n,C_0402_1005Metric,53.824214,-83.658978,0.0,bottom
C8,100n,C_0402_1005Metric,44.65279,-89.038304,135.0,bottom
C9,100n,C_0402_1005Metric,52.596877,-90.937455,0.0,bottom
C10,100n,C_0402_1005Metric,53.824214,-82.673752,0.0,bottom
C11,100n,C_0402_1005Metric,47.083552,-82.451903,-135.0,bottom
C12,100n,C_0402_1005Metric,55.390877,-87.95097,-45.0,bottom
C13,100n,C_0402_1005Metric,44.680674,-84.228758,135.0,bottom
C14,100n,C_0402_1005Metric,45.357877,-90.385509,-135.0,bottom
D1,D,D_SOD-123,31.229641,-69.230974,90.0,bottom
D2,D,D_SOD-123,71.5197,-65.09333,90.0,bottom
D3,D,D_SOD-123,82.3417,-65.04233,90.0,bottom
D4,D,D_SOD-123,100.4917,-65.04233,90.0,bottom
D5,D,D_SOD-123,120.4417,-65.04233,90.0,bottom
D6,D,D_SOD-123,138.9417,-65.04233,90.0,bottom
D7,D,D_SOD-123,158.5417,-65.04233,90.0,bottom
D8,D,D_SOD-123,177.5917,-65.04233,90.0,bottom
D9,D,D_SOD-123,196.6417,-65.04233,90.0,bottom
D10,D,D_SOD-123,215.6917,-65.04233,90.0,bottom
D11,D,D_SOD-123,234.7417,-65.04233,90.0,bottom
D12,D,D_SOD-123,253.7917,-65.04233,90.0,bottom
D13,D,D_SOD-123,272.8417,-65.04233,90.0,bottom
D14,D,D_SOD-123,291.8917,-65.04233,90.0,bottom
D15,D,D_SOD-123,310.1917,-65.04233,90.0,bottom
D16,B5817,D_SOD-323,41.71592,-62.548108,0.0,bottom
D17,D,D_SOD-123,37.4837,-71.95133,180.0,bottom
D18,D,D_SOD-123,72.6627,-84.27033,90.0,bottom
D19,D,D_SOD-123,82.3417,-84.24233,90.0,bottom
